cosparId,depth,diameter,height,mass,name,objectClass,satno,shape,span,vimpelId,width,xSectAvg,xSectMax,xSectMin
2014-039A,,2.9,5.1,5035.0,Cygnus CRS-2,Payload,40084,Cyl + 2 Pan,10.5,,,20.8367714470679,33.8301490304446,6.60519855417254
2012-062B,2.2,,5.1,5012.0,Eutelsat 21B,Payload,38992,Box + 2 Pan,37.0,,2.2,34.1837333333333,77.8382241620909,4.84
2012-023C,,5.45,7.0,5000.0,ESC-A (Ariane 5ECA),Rocket Body,38333,Cyl + 1 Nozzle,7.0,,,41.627084407769,44.7172401346055,23.3282889483127
2018-041A,2.5,,5.0,5000.0,Apstar 6C,Payload,43450,Box + 2 Pan,30.0,,2.5,34.0633333333333,73.750702040974,6.25
2012-028A,2.5,,5.0,5000.0,Chinasat 2A,Payload,38352,Box + 2 Pan,30.0,,2.5,34.0633333333333,73.750702040974,6.25
2017-059C,,5.45,7.4,5000.0,ESC-A (Ariane 5ECA),Rocket Body,42952,Cyl + 1 Nozzle,7.4,,,43.3392524039754,46.5909644164614,23.3282889483127
2012-035C,,5.45,7.0,5000.0,ESC-A (Ariane 5ECA),Rocket Body,38553,Cyl + 1 Nozzle,7.0,,,41.627084407769,44.7172401346055,23.3282889483127
2006-054C,,5.45,7.0,5000.0,ESC-A (Ariane 5ECA),Rocket Body,29645,Cyl + 1 Nozzle,7.0,,,41.627084407769,44.7172401346055,23.3282889483127
2006-007D,,5.45,7.0,5000.0,ESC-A (Ariane 5ECA),Rocket Body,28948,Cyl + 1 Nozzle,7.0,,,41.627084407769,44.7172401346055,23.3282889483127
2017-069D,,3.0,4.0,5000.0,YZ-1 (Long March (CZ) 3B/YZ-1),Rocket Body,43004,Double Cone,4.0,,,5.89048622548086,7.06858347057703,5.65486677646163
2012-043C,,5.45,7.0,5000.0,ESC-A (Ariane 5ECA),Rocket Body,38742,Cyl + 1 Nozzle,7.0,,,41.627084407769,44.7172401346055,23.3282889483127
1966-088B,,3.0,9.4,5000.0,R-36-O-2 (Tsyklon SL-10 (F-1r)),Rocket Body,2438,Cyl,9.4,,,25.6825199430966,29.0724074042814,7.06858347057703
2012-051C,,5.45,7.0,5000.0,ESC-A (Ariane 5ECA),Rocket Body,38780,Cyl + 1 Nozzle,7.0,,,41.627084407769,44.7172401346055,23.3282889483127
2016-004B,,5.45,7.0,5000.0,ESC-A (Ariane 5ECA),Rocket Body,41309,Cyl + 1 Nozzle,7.0,,,41.627084407769,44.7172401346055,23.3282889483127
2018-018D,,3.0,4.0,5000.0,YZ-1 (Long March (CZ) 3B/YZ-1),Rocket Body,43210,Double Cone,4.0,,,5.89048622548086,7.06858347057703,5.65486677646163
2020-013D,,5.45,7.0,5000.0,ESC-A (Ariane 5ECA),Rocket Body,45248,Cyl + 1 Nozzle,7.0,,,41.627084407769,44.7172401346055,23.3282889483127
1971-068C,,3.0,10.89,5000.0,R-36-O-2 (Tsyklon SL-10 (F-1r)),Rocket Body,5404,Cyl,10.89,,,29.1932497334832,33.4259445981787,7.06858347057703
2010-065C,,5.45,7.0,5000.0,ESC-A (Ariane 5ECA),Rocket Body,37239,Cyl + 1 Nozzle,7.0,,,41.627084407769,44.7172401346055,23.3282889483127
2017-005A,4.0,,8.0,5000.0,Kirameki 2 (DSN-2),Payload,41940,Box + 2 Pan,30.0,130501,4.0,67.8413333333333,131.200430864269,16.0
2007-007C,,5.45,7.0,5000.0,ESC-A (Ariane 5ECA),Rocket Body,30795,Cyl + 1 Nozzle,7.0,,,41.627084407769,44.7172401346055,23.3282889483127
2012-062C,,5.45,7.0,5000.0,ESC-A (Ariane 5ECA),Rocket Body,38993,Cyl + 1 Nozzle,7.0,,,41.627084407769,44.7172401346055,23.3282889483127
2010-070C,,5.45,7.0,5000.0,ESC-A (Ariane 5ECA),Rocket Body,37266,Cyl + 1 Nozzle,7.0,,,41.627084407769,44.7172401346055,23.3282889483127
2012-075C,,5.45,7.0,5000.0,ESC-A (Ariane 5ECA),Rocket Body,39036,Cyl + 1 Nozzle,7.0,,,41.627084407769,44.7172401346055,23.3282889483127
2004-029IA,,3.35,9.94,5000.0,L-55 (YF24) (Long March (CZ) 2C),Rocket Body,,Cyl,9.94,,,30.5600388873356,34.4457879039459,8.81413088872786
